music,timing,causa_agens
"Bedeckt mich mit Blumen, IHW 32, n. 36",3,Hugo Wolf
"Der Feind, Op. 145",3,Carl Loewe
"Der Jüngling und der Tod, D. 545",4,Franz Schubert
"Der Tod und das Mädchen, D.531",3,"Franz Schubert, Joseph von Spaun"
"Der Wanderer an den Mond, D. 870",,Franz Schubert
"Die alten, bösen Lieder Op. 48, no. 16",4,"Robert Schumann, Heinrich Heine"
"Die Geister am Mummelsee, IHW 22 n. 47",4,Hugo Wolf
Die Geister haben's vernommen,3,Johanna Kinkel
"Die junge Nonne, D.828",4,Franz Schubert
Die Mainacht Op. 43 n.2,4,Johannes Brahms
"Dunkel, wie dunkel in Wald und in Feld Op. 43 n.1",4,Johannes Brahms
"Erlkönig, D328",4,Franz Schubert
"Feldeinsamkeit, Op. 86 n. 2",4,Johannes Brahms
Frühlingsnacht Op. 39 no. 12,2,Robert Schumann
"Gedichte der Königin Maria Stuart, Op.135 n.5",2,Robert Schumann
"Gretchen am Spinnrade, D.118",4,Franz Schubert
"Hexenlied, Op. 8, n.8",3,Felix Mendelssohn
"Hochzeitslied, D. 463",2,Franz Schubert
"Ich stand in dunklen Traümen, Op. 13 n.1",2,Clara Schumann
In der Fremde Op. 39 n. 1,2,Robert Schumann
In dunkler Nacht Op. 60 no. 1,3,"Agathe Backer Grøndahl, Maria von Collignon"
"Liebst du um schönheit, GMW 43",3,Gustav Mahler
Mondnacht Op. 39 no. 5,4,Robert Schumann
"Sehnsucht, D.123",3,Franz Schubert
"Stürmisch Wandern, Op. 18 n.°6",3,"Johanna Kinkel, Gottfried Kinkel"
"Totengräbers Heimweh, D. 842",6,Franz Schubert
Unbewegte laue Luft Op. 57 n.8,4,Johannes Brahms
Walpurgisnacht Op. 2,,Carl Loewe
Walpurgisnacht Op. 75,2,Johannes Brahms
Wehmut Op. 39 no. 9,2,Robert Schumann
Wie rafft ich mich auf Op. 32 n.1,5,Johannes Brahms
"Wie viele Zeit verlor Ich, IHW 15 n. 37",2,Hugo Wolf
Wir wandelten Op.96 n. 2,3,Johannes Brahms
Zwielicht Op. 39 n.10,3,Robert Schumann
